# config/vendor_names.txt -- retail vendor function addresses to Sony SDK names.
#
# Generated by tools/gen_vendor_names.py. Contains ONLY address/name facts:
# no disassembly, no instruction bytes, no decomp source paths. This is the
# one exception tools/check_no_rom.sh allows in the ROM-derived data gate.
#
# Provenance: names are the Aug-6-2001 prototype build's linker-map symbols
# (baserom/aug6/symbols_from_map.txt in the decomp checkout), carried over to
# the retail build wherever the two builds' compiled SDK object code is
# identical after masking relocation-carried immediate fields (same
# technique as decomp/retail_port/correlate.py). source=aug6:elf-hash means
# this script's own byte correlation against both base ELFs;
# source=aug6:hits.json means the match came from correlate.py's cached hit
# list instead (used only where the direct hash correlation was ambiguous or
# empty); source=aug6:shape-fuzzy means neither exact method resolved it and
# the two builds' compiled code differs slightly (this SDK block is not
# always byte-identical between the two links), so the match instead comes
# from an opcode-shape diff (registers/immediates erased) against every
# aug6 function of matching size, accepted only at a near_miss_scan.py-grade
# identical/trivial verdict with an unambiguous winner; source=decomp:
# symbol_addrs means the retail decomp already named the function directly.
#
# Regenerate: python3 tools/gen_vendor_names.py

0x00100008 _start  // decomp:symbol_addrs
0x00100110 ResetEE  // aug6:elf-hash
0x00100120 SetGsCrt  // aug6:elf-hash
0x00100130 RFU003  // aug6:elf-hash
0x00100140 Exit  // aug6:elf-hash
0x00100150 RFU005  // aug6:elf-hash
0x00100160 LoadExecPS2  // aug6:elf-hash
0x00100170 ExecPS2  // aug6:elf-hash
0x00100180 RFU008  // aug6:elf-hash
0x00100190 RFU009  // aug6:elf-hash
0x001001A0 AddSbusIntcHandler  // aug6:elf-hash
0x001001B0 RemoveSbusIntcHandler  // aug6:elf-hash
0x001001C0 Interrupt2Iop  // aug6:elf-hash
0x001001D0 SetVTLBRefillHandler  // aug6:elf-hash
0x001001E0 SetVCommonHandler  // aug6:elf-hash
0x001001F0 SetVInterruptHandler  // aug6:elf-hash
0x00100220 RemoveIntcHandler  // aug6:elf-hash
0x00100250 RemoveDmacHandler  // aug6:elf-hash
0x00100260 _EnableIntc  // aug6:elf-hash
0x00100270 _DisableIntc  // aug6:elf-hash
0x00100280 _EnableDmac  // aug6:elf-hash
0x00100290 _DisableDmac  // aug6:elf-hash
0x001002A0 SetAlarm  // aug6:elf-hash
0x001002B0 ReleaseAlarm  // aug6:elf-hash
0x001002C0 _iEnableIntc  // aug6:elf-hash
0x001002D0 _iDisableIntc  // aug6:elf-hash
0x001002E0 _iEnableDmac  // aug6:elf-hash
0x001002F0 _iDisableDmac  // aug6:elf-hash
0x00100300 iSetAlarm  // aug6:elf-hash
0x00100310 iReleaseAlarm  // aug6:elf-hash
0x00100320 CreateThread  // aug6:elf-hash
0x00100330 DeleteThread  // aug6:elf-hash
0x00100340 StartThread  // aug6:elf-hash
0x00100350 ExitThread  // aug6:elf-hash
0x00100360 ExitDeleteThread  // aug6:elf-hash
0x00100370 TerminateThread  // aug6:elf-hash
0x00100380 iTerminateThread  // aug6:elf-hash
0x00100390 DisableDispatchThread  // aug6:elf-hash
0x001003A0 EnableDispatchThread  // aug6:elf-hash
0x001003B0 ChangeThreadPriority  // aug6:elf-hash
0x001003C0 iChangeThreadPriority  // aug6:elf-hash
0x001003D0 RotateThreadReadyQueue  // aug6:elf-hash
0x001003E0 _iRotateThreadReadyQueue  // aug6:elf-hash
0x001003F0 ReleaseWaitThread  // aug6:elf-hash
0x00100400 iReleaseWaitThread  // aug6:elf-hash
0x00100410 GetThreadId  // aug6:elf-hash
0x00100420 ReferThreadStatus  // aug6:elf-hash
0x00100430 iReferThreadStatus  // aug6:elf-hash
0x00100440 SleepThread  // aug6:elf-hash
0x00100450 WakeupThread  // aug6:elf-hash
0x00100460 _iWakeupThread  // aug6:elf-hash
0x00100470 CancelWakeupThread  // aug6:elf-hash
0x00100480 iCancelWakeupThread  // aug6:elf-hash
0x00100490 SuspendThread  // aug6:elf-hash
0x001004A0 _iSuspendThread  // aug6:elf-hash
0x001004B0 ResumeThread  // aug6:elf-hash
0x001004C0 iResumeThread  // aug6:elf-hash
0x001004D0 JoinThread  // aug6:elf-hash
0x001004E0 RFU060  // aug6:elf-hash
0x001004F0 RFU061  // aug6:elf-hash
0x00100500 EndOfHeap  // aug6:elf-hash
0x00100510 RFU063  // aug6:elf-hash
0x00100520 CreateSema  // aug6:elf-hash
0x00100530 DeleteSema  // aug6:elf-hash
0x00100540 SignalSema  // aug6:elf-hash
0x00100550 iSignalSema  // aug6:elf-hash
0x00100560 WaitSema  // aug6:elf-hash
0x00100570 PollSema  // aug6:elf-hash
0x00100580 iPollSema  // aug6:elf-hash
0x00100590 ReferSemaStatus  // aug6:elf-hash
0x001005A0 iReferSemaStatus  // aug6:elf-hash
0x001005B0 RFU073  // aug6:elf-hash
0x001005C0 SetOsdConfigParam  // aug6:elf-hash
0x001005D0 GetOsdConfigParam  // aug6:elf-hash
0x001005E0 GetGsHParam  // aug6:elf-hash
0x001005F0 GetGsVParam  // aug6:elf-hash
0x00100600 SetGsHParam  // aug6:elf-hash
0x00100610 SetGsVParam  // aug6:elf-hash
0x00100620 RFU080_CreateEventFlag  // aug6:elf-hash
0x00100630 RFU081_DeleteEventFlag  // aug6:elf-hash
0x00100640 RFU082_SetEventFlag  // aug6:elf-hash
